# This file is built from NewRisingSun's "NES and Famicom Accurate Cartridge Information Database"
# as available here: http://nerdlypleasures.blogspot.com/2020/04/the-nes-and-famicom-accurate-cartridge.html
# Last retrieved on 2020-05-24
# For now, I've just included the data for the US releases.

# Game Name A-Z, PRG-ROM, CHR-ROM, Misc ROM, Mapper, Mirror + Flag, PPU, PRG-RAM, PRG-RAM B, CHR-RAM, CHR-RAM B, Console, Controller, CRC32

# Licensed NA
# -----------
Dash Galaxy in the Alien Asylum (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,67811DA6
David Crane's A Boy and His Blob - Trouble on Blobolonia (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,4D1AC58C
Day Dreamin' Davey (USA).nes,256,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Zapper,E145B441
Days of Thunder (USA).nes,128,256,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,12748678
Deadly Towers (USA).nes,128,0,0,34.02,H,RP2C02,0,0,8K,0,Normal,Standard,C2730C30
Defender II (USA).nes,16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,A2AF25D0
Defender of the Crown (USA).nes,256,0,0,1.00,H,RP2C02,0,0,8K,0,Normal,Standard,28FB71AE
Defenders of Dynatron City (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,A725B2D3
Deja Vu (USA).nes,128,256,0,4.00,HB,RP2C02,0,8K,0,0,Normal,Standard,43D01C10
Demon Sword (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,4681691A
Desert Commander (USA).nes,128,128,0,1.00,H,RP2C02,8K,0,0,0,Normal,Standard,68EC97CB
Destination Earthstar (USA).nes,32,32,0,3.02,V,RP2C02,0,0,0,0,Normal,Standard,EB9960EE
Destiny of an Emperor (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,A558FB52
Dick Tracy (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,D738C059
Die Hard (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,085DE7C9
Dig Dug II - Trouble in Paradise (USA).nes,32,8,0,0.00,V,RP2C02,0,0,0,0,Normal,Standard,DBB06A25
Digger - The Legend of the Lost City (USA).nes,128,0,0,7.02,H,RP2C02,0,0,8K,0,Normal,Standard,1CEE0C21
Dirty Harry (USA).nes,256,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,0C2E7863
Donkey Kong (World) (Rev 1).nes,16,8,0,0.00,H,any,0,0,0,0,Normal,Standard,6F97C721
Donkey Kong 3 (World).nes,16,8,0,0.00,V,any,0,0,0,0,Normal,Standard,B3D74C0D
Donkey Kong Jr. (World) (Rev 1).nes,16,8,0,0.00,V,any,0,0,0,0,Normal,Standard,4864C304
"Donkey Kong Jr. Math (USA, Europe).nes",16,8,0,0.00,V,any,0,0,0,0,Normal,Standard,0504B007
Double Dare (USA).nes,256,0,0,7.01,H,RP2C02,0,0,8K,0,Normal,Standard,2B378D11
Double Dragon (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,0F1CC048
Double Dragon II - The Revenge (USA) (Rev 1).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,8A640AEF
Double Dragon III - The Sacred Stones (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,50FD0CC6
Double Dribble (USA) (Rev 1).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,D0E96F6B
Dr. Chaos (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,73620901
Dr. Jekyll and Mr. Hyde (USA).nes,128,32,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,4D3FBA78
"Dr. Mario (Japan, USA) (Rev 1).nes",32,32,0,1.05,H,RP2C02,0,0,0,0,Normal,Standard,DE581355
Dragon Fighter (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,A166548F
Dragon Power (USA).nes,128,32,0,66.00,V,RP2C02,0,0,0,0,Normal,Standard,811F06D9
Dragon Spirit - The New Legend (USA).nes,128,128,0,4.00,H,RP2C02,0,0,0,0,Normal,Standard,D7E29C03
Dragon Warrior (USA) (Rev 1).nes,64,16,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,2545214C
Dragon Warrior II (USA).nes,256,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,8C5A784E
Dragon Warrior III (USA).nes,512,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,A86A5318
Dragon Warrior IV (USA).nes,512,0,0,1.00,HB,RP2C02,0,8K,8K,0,Normal,Standard,506E259D
Dragon's Lair (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,CA033B3A
Duck Hunt (World).nes,16,8,0,0.00,V,any,0,0,0,0,Normal,Zapper,24598791
DuckTales (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,EFB09075
DuckTales 2 (USA).nes,128,0,0,2.02,V,RP2C02,0,0,8K,0,Normal,Standard,73C7FCF4
Dungeon Magic - Sword of the Elements (USA).nes,128,128,0,1.00,HB,RP2C02,0,8K,0,0,Normal,Standard,23C3FB2D
Dusty Diamond's All-Star Softball (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,38B590E4
Dynowarz - The Destruction of Spondylus (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,BDE93999
Elevator Action (USA).nes,32,8,0,0.00,H,RP2C02,0,0,0,0,Normal,Standard,2AC87283
Eliminator Boat Duel (USA).nes,128,128,0,1.00,H,RP2C02,0,0,0,0,Normal,Standard,059E0CDF
"Empereur, L' (USA).nes",256,128,0,5.00,HB,RP2C02,8K,8K,0,0,Normal,Standard,9C18762B
"Excitebike (Japan, USA).nes",16,8,0,0.00,V,RP2C02,0,0,0,0,Normal,DataRec,49AEB3A6
